id_word,Spelling,wlen,Frequency,DomPoS,meaning,path
250,person,6,5.341,noun,persona,images/words/250.webp
251,care,4,5.34,noun,cuidado,images/words/251.webp
252,deal,4,5.338,noun,trato,images/words/252.webp
253,brilliant,9,5.336,adjective,brillante,images/words/253.webp
254,true,4,5.328,adjective,verdadero/verdadera,images/words/254.webp
255,along,5,5.328,preposition,a lo largo de,images/words/255.webp
256,ball,4,5.327,noun,pelota/bola,images/words/256.webp
257,wonderful,9,5.327,adjective,maravilloso/maravillosa,images/words/257.webp
258,hold,4,5.324,verb,sostener,images/words/258.webp
259,special,7,5.324,adjective,especial,images/words/259.webp
260,early,5,5.323,adjective,temprano,images/words/260.webp
261,happen,6,5.323,verb,suceder/ocurrir,images/words/261.webp
262,huge,4,5.322,adjective,enorme,images/words/262.webp
263,easy,4,5.316,adjective,fácil,images/words/263.webp
264,less,4,5.312,adjective,menos,images/words/264.webp
265,fun,3,5.309,noun,diversión,images/words/265.webp
266,hit,3,5.309,verb,golpear,images/words/266.webp
267,watch,5,5.303,verb,ver/mirar,images/words/267.webp
268,sir,3,5.301,noun,señor,images/words/268.webp
269,future,6,5.301,noun,futuro,images/words/269.webp
270,heart,5,5.3,noun,corazón,images/words/270.webp
271,past,4,5.297,adjective,pasado/pasada,images/words/271.webp
272,girl,4,5.293,noun,chica/niña,images/words/272.webp
273,word,4,5.291,noun,palabra,images/words/273.webp
274,baby,4,5.29,noun,bebé,images/words/274.webp
275,power,5,5.289,noun,poder,images/words/275.webp
276,mother,6,5.289,noun,madre,images/words/276.webp
277,space,5,5.288,noun,espacio,images/words/277.webp
278,support,7,5.286,noun,apoyo,images/words/278.webp
279,friend,6,5.285,noun,amigo/amiga,images/words/279.webp
280,road,4,5.28,noun,carretera/camino,images/words/280.webp
281,bank,4,5.28,noun,banco,images/words/281.webp
282,least,5,5.28,adjective,menor/menos,images/words/282.webp
283,worth,5,5.28,adjective,valer la pena,images/words/283.webp
284,garden,6,5.28,noun,jardín,images/words/284.webp
285,perfect,7,5.279,adjective,perfecto/perfecta,images/words/285.webp
286,rest,4,5.278,noun,descanso/resto,images/words/286.webp
287,price,5,5.278,noun,precio,images/words/287.webp
288,light,5,5.278,noun,luz,images/words/288.webp
289,interesting,11,5.278,adjective,interesante,images/words/289.webp
290,become,6,5.277,verb,llegar a ser/convertirse en,images/words/290.webp
291,boy,3,5.276,noun,chico/niño,images/words/291.webp
292,piece,5,5.27,noun,pieza/pedazo,images/words/292.webp
293,film,4,5.264,noun,película,images/words/293.webp
294,system,6,5.262,noun,sistema,images/words/294.webp
295,black,5,5.261,adjective,negro/negra,images/words/295.webp
296,door,4,5.26,noun,puerta,images/words/296.webp
297,tomorrow,8,5.258,noun,mañana,images/words/297.webp
298,father,6,5.257,noun,padre,images/words/298.webp
299,white,5,5.253,adjective,blanco/blanca,images/words/299.webp
300,listen,6,5.251,verb,escuchar,images/words/300.webp
301,shall,5,5.249,verb,deber (futuro),images/words/301.webp
302,luck,4,5.248,noun,suerte,images/words/302.webp
303,strong,6,5.247,adjective,fuerte,images/words/303.webp
304,history,7,5.247,noun,historia,images/words/304.webp
305,free,4,5.246,adjective,libre/gratis,images/words/305.webp
306,stand,5,5.246,verb,estar de pie,images/words/306.webp
307,matter,6,5.242,noun,asunto/materia,images/words/307.webp
308,gonna,5,5.239,noun,ir a (contracción),images/words/308.webp
309,century,7,5.239,noun,siglo,images/words/309.webp
310,building,8,5.239,noun,edificio,images/words/310.webp
311,town,4,5.236,noun,pueblo/ciudad,images/words/311.webp
312,sense,5,5.234,noun,sentido,images/words/312.webp
313,middle,6,5.234,noun,medio/centro,images/words/313.webp
314,break,5,5.229,verb,romper,images/words/314.webp
315,minute,6,5.229,noun,minuto,images/words/315.webp
316,link,4,5.228,noun,enlace/vínculo,images/words/316.webp
317,company,7,5.227,noun,empresa/compañía,images/words/317.webp
318,state,5,5.226,noun,estado,images/words/318.webp
319,market,6,5.224,noun,mercado,images/words/319.webp
320,eight,5,5.221,number,ocho,images/words/320.webp
321,woman,5,5.221,noun,mujer,images/words/321.webp
322,air,3,5.219,noun,aire,images/words/322.webp
323,sell,4,5.219,verb,vender,images/words/323.webp
324,green,5,5.216,adjective,verde,images/words/324.webp
325,seven,5,5.216,number,siete,images/words/325.webp
326,miss,4,5.215,verb,extrañar/fallar,images/words/326.webp
327,pressure,8,5.213,noun,presión,images/words/327.webp
328,book,4,5.21,noun,libro,images/words/328.webp
329,late,4,5.207,adjective,tarde,images/words/329.webp
330,eat,3,5.206,verb,comer,images/words/330.webp
331,sea,3,5.205,noun,mar,images/words/331.webp
332,kitchen,7,5.203,noun,cocina,images/words/332.webp
333,national,8,5.202,adjective,nacional,images/words/333.webp
334,possible,8,5.2,adjective,posible,images/words/334.webp
335,programme,9,5.2,noun,programa,images/words/335.webp
336,plan,4,5.198,noun,plan,images/words/336.webp
337,shot,4,5.197,noun,disparo/tomada,images/words/337.webp
338,street,6,5.196,noun,calle,images/words/338.webp
339,service,7,5.195,noun,servicio,images/words/339.webp
340,fish,4,5.192,noun,pez/pescado,images/words/340.webp
341,walk,4,5.192,verb,caminar,images/words/341.webp
342,challenge,9,5.192,noun,desafío/reto,images/words/342.webp
343,phone,5,5.191,noun,teléfono,images/words/343.webp
344,budget,6,5.191,noun,presupuesto,images/words/344.webp
345,reason,6,5.19,noun,razón,images/words/345.webp
346,ground,6,5.19,noun,suelo/terreno,images/words/346.webp
347,stage,5,5.189,noun,etapa/escenario,images/words/347.webp
348,group,5,5.189,noun,grupo,images/words/348.webp
349,centre,6,5.187,noun,centro,images/words/349.webp
350,fire,4,5.184,noun,fuego,images/words/350.webp
351,age,3,5.182,noun,edad,images/words/351.webp
352,issue,5,5.182,noun,asunto/problema,images/words/352.webp
353,lead,4,5.181,noun,plomo/liderazgo,images/words/353.webp
354,land,4,5.18,noun,tierra,images/words/354.webp
355,tax,3,5.178,noun,impuesto,images/words/355.webp
356,during,6,5.178,preposition,durante,images/words/356.webp
357,body,4,5.176,noun,cuerpo,images/words/357.webp
358,hour,4,5.173,noun,hora,images/words/358.webp
359,cost,4,5.173,noun,costo,images/words/359.webp
360,third,5,5.173,adjective,tercero/tercera,images/words/360.webp
361,decision,8,5.173,noun,decisión,images/words/361.webp
362,auction,7,5.172,noun,subasta,images/words/362.webp
363,dog,3,5.168,noun,perro,images/words/363.webp
364,son,3,5.166,noun,hijo,images/words/364.webp
365,view,4,5.165,noun,vista,images/words/365.webp
366,sound,5,5.165,noun,sonido,images/words/366.webp
367,pick,4,5.163,verb,elegir/recoger,images/words/367.webp
368,position,8,5.163,noun,posición,images/words/368.webp
369,vote,4,5.162,noun,voto,images/words/369.webp
370,blue,4,5.162,adjective,azul,images/words/370.webp
371,guess,5,5.161,verb,adivinar,images/words/371.webp
372,serious,7,5.159,adjective,serio/seria,images/words/372.webp
373,economy,7,5.158,noun,economía,images/words/373.webp
374,fair,4,5.155,adjective,justo/justa,images/words/374.webp
375,experience,10,5.152,noun,experiencia,images/words/375.webp
376,guy,3,5.151,noun,chico/tipo,images/words/376.webp
377,lady,4,5.151,noun,señora/dama,images/words/377.webp
378,order,5,5.151,noun,orden,images/words/378.webp
379,single,6,5.15,adjective,soltero/soltera/único/única,images/words/379.webp
380,dead,4,5.149,adjective,muerto/muerta,images/words/380.webp
381,political,9,5.148,adjective,político/política,images/words/381.webp
382,art,3,5.147,noun,arte,images/words/382.webp
383,wife,4,5.146,noun,esposa,images/words/383.webp
384,child,5,5.145,noun,niño/niña,images/words/384.webp
385,hot,3,5.144,adjective,caliente,images/words/385.webp
386,main,4,5.144,adjective,principal,images/words/386.webp
387,worry,5,5.142,verb,preocuparse,images/words/387.webp
388,death,5,5.142,noun,muerte,images/words/388.webp
389,bid,3,5.141,noun,oferta,images/words/389.webp
390,read,4,5.14,verb,leer,images/words/390.webp
391,health,6,5.14,noun,salud,images/words/391.webp
392,control,7,5.14,noun,control,images/words/392.webp
393,council,7,5.137,noun,concejo/consejo,images/words/393.webp
394,pass,4,5.136,verb,pasar,images/words/394.webp
395,sit,3,5.135,verb,sentarse,images/words/395.webp
396,spend,5,5.134,verb,gastar,images/words/396.webp
397,office,6,5.134,noun,oficina,images/words/397.webp
398,seem,4,5.131,verb,parecer,images/words/398.webp
399,quick,5,5.13,adjective,rápido/rápida,images/words/399.webp
400,eye,3,5.129,noun,ojo,images/words/400.webp
401,level,5,5.129,noun,nivel,images/words/401.webp
402,favourite,9,5.128,adjective,favorito/favorita,images/words/402.webp
403,picture,7,5.126,noun,imagen/cuadro,images/words/403.webp
404,short,5,5.125,adjective,corto/corta,images/words/404.webp
405,match,5,5.124,noun,partido/coincidencia,images/words/405.webp
406,evening,7,5.124,noun,tarde/noche,images/words/406.webp
407,dance,5,5.123,noun,baile,images/words/407.webp
408,weather,7,5.123,noun,tiempo (clima),images/words/408.webp
409,box,3,5.122,noun,caja,images/words/409.webp
410,tough,5,5.118,adjective,duro/difícil,images/words/410.webp
411,bed,3,5.115,noun,cama,images/words/411.webp
412,low,3,5.115,adjective,bajo/baja,images/words/412.webp
413,record,6,5.115,noun,récord/registro,images/words/413.webp
414,lose,4,5.113,verb,perder,images/words/414.webp
415,race,4,5.112,noun,carrera/raza,images/words/415.webp
416,cold,4,5.108,adjective,frío/fría,images/words/416.webp
417,mate,4,5.103,noun,compañero/compañera,images/words/417.webp
418,court,5,5.103,noun,tribunal/corte,images/words/418.webp
419,large,5,5.103,adjective,grande,images/words/419.webp
420,gold,4,5.102,noun,oro,images/words/420.webp
421,table,5,5.102,noun,mesa,images/words/421.webp
422,agree,5,5.102,verb,estar de acuerdo,images/words/422.webp
423,safe,4,5.1,adjective,seguro/segura,images/words/423.webp
424,join,4,5.1,verb,unirse,images/words/424.webp
425,touch,5,5.1,noun,tacto/toque,images/words/425.webp
426,although,8,5.1,preposition,aunque,images/words/426.webp
427,board,5,5.099,noun,tablero/junta,images/words/427.webp
428,club,4,5.097,noun,club,images/words/428.webp
429,song,4,5.097,noun,canción,images/words/429.webp
430,community,9,5.097,noun,comunidad,images/words/430.webp
431,check,5,5.096,verb,comprobar/revisar,images/words/431.webp
432,season,6,5.095,noun,temporada,images/words/432.webp
433,double,6,5.095,adjective,doble,images/words/433.webp
434,seconds,7,5.095,noun,segundos,images/words/434.webp
435,expect,6,5.094,verb,esperar (anticipar),images/words/435.webp
436,situation,9,5.094,noun,situación,images/words/436.webp
437,step,4,5.093,noun,paso,images/words/437.webp
438,action,6,5.093,noun,acción,images/words/438.webp
439,speak,5,5.091,verb,hablar,images/words/439.webp
440,report,6,5.089,noun,informe,images/words/440.webp
441,difference,10,5.086,noun,diferencia,images/words/441.webp
442,size,4,5.085,noun,tamaño,images/words/442.webp
443,rain,4,5.083,noun,lluvia,images/words/443.webp
444,trouble,7,5.083,noun,problema,images/words/444.webp
445,park,4,5.081,noun,parque,images/words/445.webp
446,form,4,5.081,noun,forma/formulario,images/words/446.webp
447,hospital,8,5.081,noun,hospital,images/words/447.webp
448,month,5,5.08,noun,mes,images/words/448.webp
449,near,4,5.075,preposition,cerca de,images/words/449.webp
450,key,3,5.074,adjective,clave,images/words/450.webp
451,election,8,5.073,noun,elección,images/words/451.webp
452,beat,4,5.072,verb,vencer,images/words/452.webp
453,imagine,7,5.072,verb,imaginar,images/words/453.webp
454,opportunity,11,5.072,noun,oportunidad,images/words/454.webp
455,simple,6,5.071,adjective,simple/sencillo,images/words/455.webp
456,amount,6,5.069,noun,cantidad,images/words/456.webp
457,nine,4,5.068,number,nueve,images/words/457.webp
458,cool,4,5.067,adjective,genial/fresco,images/words/458.webp
459,build,5,5.066,verb,construir,images/words/459.webp
460,human,5,5.065,adjective,humano/humana,images/words/460.webp
461,result,6,5.065,noun,resultado,images/words/461.webp
462,evidence,8,5.062,noun,evidencia,images/words/462.webp
463,drink,5,5.061,noun,bebida,images/words/463.webp
464,finish,6,5.058,verb,terminar,images/words/464.webp
465,wonder,6,5.057,verb,preguntarse,images/words/465.webp
466,test,4,5.056,noun,prueba,images/words/466.webp
467,funny,5,5.056,adjective,divertido/divertida,images/words/467.webp
468,shop,4,5.053,noun,tienda,images/words/468.webp
469,save,4,5.051,verb,guardar/ahorrar,images/words/469.webp
470,colour,6,5.051,noun,color,images/words/470.webp
471,law,3,5.049,noun,ley,images/words/471.webp
472,wish,4,5.049,verb,desear,images/words/472.webp
473,general,7,5.049,adjective,general,images/words/473.webp
474,interest,8,5.049,noun,interés,images/words/474.webp
475,enjoy,5,5.048,verb,disfrutar,images/words/475.webp
476,term,4,5.046,noun,término,images/words/476.webp
477,poor,4,5.046,adjective,pobre,images/words/477.webp
478,major,5,5.046,adjective,mayor/principal,images/words/478.webp
479,wall,4,5.045,noun,pared,images/words/479.webp
480,floor,5,5.045,noun,piso/suelo,images/words/480.webp
481,catch,5,5.044,verb,atrapar,images/words/481.webp
482,process,7,5.044,noun,proceso,images/words/482.webp
483,mine,4,5.043,noun,mina/mío/mía,images/words/483.webp
484,star,4,5.041,noun,estrella,images/words/484.webp
485,fight,5,5.041,verb,luchar,images/words/485.webp
486,forget,6,5.04,verb,olvidar,images/words/486.webp
487,massive,7,5.037,adjective,masivo/masiva,images/words/487.webp
488,information,11,5.034,noun,información,images/words/488.webp
489,cook,4,5.033,verb,cocinar,images/words/489.webp
490,famous,6,5.032,adjective,famoso/famosa,images/words/490.webp
491,score,5,5.031,noun,puntuación,images/words/491.webp
492,lucky,5,5.031,adjective,afortunado/afortunada,images/words/492.webp
493,hair,4,5.027,noun,cabello/pelo,images/words/493.webp
494,meeting,7,5.027,noun,reunión,images/words/494.webp
495,choice,6,5.026,noun,elección,images/words/495.webp
496,afraid,6,5.025,adjective,asustado/asustada,images/words/496.webp
497,leader,6,5.024,noun,líder,images/words/497.webp
498,suppose,7,5.023,verb,suponer,images/words/498.webp
499,tea,3,5.022,noun,té,images/words/499.webp
